ordem;codigo;descricao;codigoSuperior;nivel;isTotal;grupo
1;0001;Receitas de Competições;0052;2;false;
2;0002;Patrocínios de Competições;0001;3;false;
3;0003;Patrocínio Master;0002;4;false;
4;0004;Patrocínio Oficial;0002;4;false;
5;0005;Patrocínio Regional;0002;4;false;
6;0006;Direitos de Transmissão;0001;3;false;
7;0007;TV Aberta;0006;4;false;
8;0008;TV Fechada;0006;4;false;
9;0009;Streaming/Digital;0006;4;false;
10;0010;Rádio;0006;4;false;
11;0011;Bilheteria;0001;3;false;
12;0012;Vendas de Ingressos;0011;4;false;
13;0013;Camarotes e Áreas VIP;0011;4;false;
14;0014;Pacotes e Combos;0011;4;false;
15;0015;Licenciamento e Merchandising;0001;3;false;
16;0016;Produtos Oficiais;0015;4;false;
17;0017;Royalties;0015;4;false;
18;0018;Loja Oficial;0015;4;false;
19;0019;Receitas de Repasses;0052;2;false;
20;0020;Repasses CBF;0019;3;false;
21;0021;Cota Federação;0020;4;false;
22;0022;Incentivo ao Futebol de Base;0020;4;false;
23;0023;Programas de Desenvolvimento;0020;4;false;
24;0024;Repasses FIFA;0019;3;false;
25;0025;Forward Programme;0024;4;false;
26;0026;Development Programmes;0024;4;false;
27;0027;Solidariedade;0024;4;false;
28;0028;Repasses CONMEBOL;0019;3;false;
29;0029;Cota de Participação;0028;4;false;
30;0030;Programas de Desenvolvimento;0028;4;false;
31;0031;Receitas de Convênios e Parcerias;0052;2;false;
32;0032;Convênios Governamentais;0031;3;false;
33;0033;Lei de Incentivo ao Esporte;0032;4;false;
34;0034;Programas Municipais;0032;4;false;
35;0035;Programas Estaduais;0032;4;false;
36;0036;Parcerias Privadas;0031;3;false;
37;0037;Parcerias Esportivas;0036;4;false;
38;0038;Parcerias Comerciais;0036;4;false;
39;0039;Outras Receitas Operacionais;0052;2;false;
40;0040;Taxas de Inscrição e Filiação;0039;3;false;
41;0041;Taxa de Inscrição de Clubes;0040;4;false;
42;0042;Taxa de Filiação Anual;0040;4;false;
43;0043;Taxa de Registro de Atletas;0040;4;false;
44;0044;Multas e Penalidades;0039;3;false;
